Attribute,Description,Valid Values,Requires,Properties,Required,Parent,Requires Component,Source,Validation Rules
Assay,"A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.[OBI_0000070]",,,,FALSE,,,http://purl.obolibrary.org/obo/OBI_0000070
Device,"A thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment""",,,,FALSE,Assay,,https://w3id.org/biolink/vocab/Device
Sequencing,Module for next generation sequencing assays,,,,FALSE,Assay,,http://example.org/htan/Sequencing
Component,"Type of submitted metadata

Patient, 
scRNA-seq Assay",,,,TRUE,,,https://w3id.org/biolink/vocab/category
File,A type of Information Content Entity specific to OS,,,"Filename, File Format",FALSE,Information Content Entity,,https://w3id.org/biolink/vocab/DataFile
Filename,REQUIRED: Name of a file ,,,,TRUE,,,http://example.org/htan/filename
File Format,"REQUIRED: Format of a file (e.g. txt, csv, fastq, bam, etc.)","txt, csv, fastq, bam",,,TRUE,,,http://example.org/htan/fileFormat
Biospecimen,"HTAN biological entity; bio entity can be a sample, slide, aliquot, analyte, etc.  ",,Sample ID,Sample ID,FALSE,Biosample,Patient,http://example.org/htan/Biospecimen
Sample ID,"REQUIRED: ID associated with this biosample; e.g. S1, S2,..., etc.",,,,TRUE,,,http://www.w3.org/ns/prov#Entity
Patient,Individual biomedical demographics attributes,,"Patient ID,  Year Of Birth,  Vital Status, Treatment Anatomic Site, Treatment Type, Treatment Effect, Treatment Outcome, Treatment Intent Type, Component",,FALSE,Patient,,
Patient ID,"REQUIRED: ID associated with a patient: e.g. P1, P2,..., etc.",,,,TRUE,Patient,,http://www.w3.org/ns/prov#Entity
Vital Status,REQUIRED: The survival state of the person registered on the protocol.,"Status Alive, Status Dead, Status Unknown, Status Not Reported",,,TRUE,Patient,,
Status Dead,A patient has died,,Cause of Death,,FALSE,Patient,,
Cause of Death,REQUIRED IF Vital Status Dead: Text term to identify the cause of death for a patient.,"Cancer Related, Cardiovascular Disorder NOS, End-stage Renal Disease, Infection, Not Cancer Related, Renal Disorder NOS, Spinal Muscular Atrophy, Surgical Complications, Toxicity, Not Reported, Unknown",,,TRUE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2554674&version=3.0
Year Of Birth,REQUIRED: Patient's birth year: YYYY,,,,TRUE,Patient,,
Treatment Anatomic Site,REQUIRED: The anatomic site or field targeted by a treatment regimen or single agent therapy.,"Abdomen total,Abdominal Wall,Acetabulum,Adenoid,Adipose,Adrenal,Alveolar Ridge,Amniotic Fluid,Ampulla of Vater,Anal Sphincter,Ankle,Anorectum,Antecubital Fossa,Antrum,Anus,Aorta,Aortic Body,Appendix,Aqueous Fluid,Arm,Artery,Ascending Colon,Ascending Colon Hepatic Flexure,Ascites,Auditory Canal,Autonomic Nervous System,Axilla,Back,Bile Duct,Bladder,Blood,Blood Vessel,Body total,Bone,Bone Marrow,Bone non-spine,Bowel,Brain,Brain Stem,Breast,Broad Ligament,Bronchiole,Bronchus,Brow,Buccal Cavity,Buccal Mucosa,Buttock,Calf,Capillary,Cardia,Carina,Carotid Artery,Carotid Body,Cartilage,Cecum,Cell-Line,Central Nervous System,Cerebellum,Cerebral Cortex,Cerebrospinal Fluid,Cerebrum,Cervical Spine,Cervix,Chest,Chest Wall,Chin,Clavicle,Clitoris,Colon,Colon Mucosa Only,Common Duct,Conjunctiva,Connective Tissue,Dermal,Descending Colon,Diaphragm,Distant Site,Duodenum,Ear,Ear Canal,Ear Pinna (External),Elbow,Endocrine Gland,Epididymis,Epidural Space,Epitrochlear,Esophagogastric Junction,Esophagus,Esophagus Mucosa Only,Eye,Fallopian Tube,Femoral Artery,Femoral Vein,Femur,Fibroblasts,Fibula,Finger,Floor of Mouth,Fluid,Foot,Forearm,Forehead,Foreskin,Frontal Cortex,Frontal Lobe,Fundus of Stomach,Gallbladder,Ganglia,Gastroesophageal Junction,Gastrointestinal Tract,Gastrointestinal Intestine,Genitourinary NOS,Groin,Gum,Hand,Hard Palate,Head Face Or Neck Nos,Head and Neck,Heart,Hepatic,Hepatic Duct,Hepatic Vein,Hilar,Hip,Hippocampus,Humerus,Hypopharynx,Ileocecal Valve,Ileum,Ilium,Index Finger,Ischium,Islet Cells,Jaw,Jejunum,Joint,Kidney,Knee,Lacrimal Gland,Large Bowel,Laryngopharynx,Larynx,Leg,Leptomeninges,Ligament,Lip,Liver,Lumbar Spine,Lung,Lymph Node,Lymph Node(s) Axilla,Lymph Node(s) Cervical,Lymph Node(s) Distant,Lymph Node(s) Epitrochlear,Lymph Node(s) Femoral,Lymph Node(s) Hilar,Lymph Node(s) Iliac-Common,Lymph Node(s) Iliac-External,Lymph Node(s) Inguinal,Lymph Node(s) Internal Mammary,Lymph Node(s) Mammary,Lymph Node(s) Mediastinal,Lymph Node(s) Mesenteric,Lymph Node(s) Occipital,Lymph Node(s) Paraaortic,Lymph Node(s) Parotid,Lymph Node(s) Pelvic,Lymph Node(s) Popliteal,Lymph Node(s) Regional,Lymph Node(s) Retroperitoneal,Lymph Node(s) Scalene,Lymph Node(s) Splenic,Lymph Node(s) Subclavicular,Lymph Node(s) Submandibular,Lymph Node(s) Supraclavicular,Mandible,Mantle,Maxilla,Mediastinal Soft Tissue,Mediastinum,Mesentery,Mesothelium,Middle Finger,Mitochondria,Muscle,Nails,Nasal Cavity,Nasal Soft Tissue,Nasopharynx,Neck,Nerve,Nerve(s) Cranial,Occipital Cortex,Ocular Orbits,Omentum,Oral Cavity,Oral Cavity Mucosa Only,Oropharynx,Other,Ovary,Palate,Pancreas,Parametrium,Paraspinal Ganglion,Parathyroid,Parotid Gland,Patella,Pelvis,Penis,Pericardium,Periorbital Soft Tissue,Peritoneal Cavity,Peritoneum,Pharynx,Pineal,Pineal Gland,Pituitary Gland,Placenta,Pleura,Popliteal Fossa,Pouch,Primary Tumor Field,Primary tumor site,Prostate,Prostate Bed,Prostate Seminal Vesicles and Lymph Nodes,Pylorus,Rectosigmoid Junction,Rectum,Regional Site,Retina,Retro-Orbital Region,Retroperitoneum,Rib,Ring Finger,Round Ligament,Sacrum,Salivary Gland,Scalp,Scapula,Sciatic Nerve,Scrotum,Seminal Vesicle,Shoulder,Sigmoid Colon,Sinus,Sinus(es) Maxillary,Skeletal Muscle,Skin,Skin lower extremity local,Skin total,Skin trunk local,Skin upper extremity local,Skull,Small Bowel,Small Bowel Mucosa Only,Small Finger,Soft Tissue,Spinal Column,Spinal Cord,Spine,Spleen,Splenic Flexure,Sternum,Stomach,Stomach Mucosa Only,Subcutaneous Tissue,Synovium,Temporal Cortex,Tendon,Testis,Thigh,Thoracic Spine,Thorax,Throat,Thumb,Thymus,Thyroid,Tibia,Tongue,Tonsil,Tonsil (Pharyngeal),Trachea / Major Bronchi,Transverse Colon,Trunk,Umbilical Cord,Unknown,Ureter,Urethra,Urinary Tract,Uterus,Uvula,Vagina,Vas Deferens,Vein,Venous,Vertebra,Vulva,White Blood Cells,Wrist,Not Reported",,,TRUE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5615611&version=1.0
Treatment Effect,REQUIRED: The text term used to describe the pathologic effect a treatment(s) had on the tumor.,"Complete Necrosis (No Viable Tumor), Incomplete Necrosis (Viable Tumor Present), No Necrosis, Unknown, Not Reported",,,TRUE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=6514354&version=1.0
Treatment Intent Type,REQUIRED: Text term to identify the reason for the administration of a treatment regimen. [Manually-curated],"Adjuvant, Cancer Control, Cure, Neoadjuvant, Palliative, Prevention, Unknown, Not Reported",,,TRUE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=2793511&version=1.0
Treatment Outcome,REQUIRED: Text term that describes the patient's final outcome after the treatment was administered.,"Complete Response, Mixed Response, No Measurable Disease, No Response, Partial Response, Persistent Disease, Progressive Disease, Stable Disease, Treatment Ongoing, Treatment Stopped Due to Toxicity, Very Good Partial Response, Unknown, Not Reported",,,TRUE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5102383&version=1.0
Treatment Type,REQUIRED: Text term that describes the kind of treatment administered.,"Ablation Cryo,Ablation Ethanol Injection,Ablation Microwave,Ablation NOS,Ablation Radiofrequency,Ablation Radiosurgical,Ancillary Treatment,Antiseizure Treatment,Bisphosphonate Therapy,Blinded Study Treatment Unknown,Brachytherapy High Dose,Brachytherapy Low Dose,Brachytherapy NOS,Chemoembolization,Chemoprotectant,Chemotherapy,Concurrent Chemoradiation,Cryoablation,Embolization,Ethanol Injection Ablation,External Beam Radiation,Hormone Therapy,I-131 Radiation Therapy,Internal Radiation,Immunotherapy (Including Vaccines),Isolated Limb Perfusion (ILP),Organ Transplantation,Other,Pharmaceutical Therapy NOS,Pleurodesis,Radiation 2D Conventional,Radiation 3D Conformal,Radiation Combination,Radiation Cyberknife,Radiation External Beam,Radiation Implants,Radiation Intensity-Modulated Radiotherapy,Radiation Internal,Radiation Proton Beam,Radiation Radioisotope,Radiation Stereotactic/Gamma Knife/SRS,Radiation Systemic,Radiation Therapy NOS,Radioactive Iodine Therapy,Radioembolization,Radiosensitizing Agent,Stem Cell Treatment,Stem Cell Transplantation Autologous,Stem Cell Transplantation Double Autologous,Stem Cell Transplantation Allogeneic,Stem Cell Transplantation Non-Myeloablative,Stem Cell Transplantation Syngenic,Stem Cell Transplantation Haploidentical,Stem Cell Transplantation NOS,Stereotactic Radiosurgery,Steroid Therapy,Surgery,Targeted Molecular Therapy,Unknown,Not Reported",,,TRUE,Patient,,https://cdebrowser.nci.nih.gov/cdebrowserClient/cdeBrowser.html#/search?publicId=5102381&version=1.0
Library Construction Method,REQUIRED: Process which results in the creation of a library from fragments of DNA using cloning vectors or oligonucleotides with the role of adaptors [OBI_0000711],"Smart-seq2, Smart-SeqV4, 10xV1, 10xV2, 10xV3,
10xV3.1, CEL-seq2, Drop-seq, inDropsV2, inDropsV3, TruDrop",,,TRUE,Sequencing,,
Library Preparation Date,REQUIRED: Number of days since sample received in lab: proxy for the date that the libraries were prepared for sequencing,,,,TRUE,Sequencing,,http://purl.obolibrary.org/obo/OBI_0000711
Sequencing Platform,REQUIRED: A platform is an object_aggregate that is the set of instruments and software needed to perform a process [OBI_0000050],"Illumina Next Seq 500, Illumina Next Seq 2500, Illumina NovaSeq 6000",,,TRUE,Device,,http://purl.obolibrary.org/obo/OBI_0000050
Reverse Transcription Primer,"REQUIRED: An oligo to which new deoxyribonucleotides can be added by DNA polymerase [SO_0000112]. The type of primer used for reverse transcription, e.g. oligo-dT or random primer. This allows users to identify content of the cDNA library input e.g. enriched for mRNA","Oligo-dT, Poly-dT, 
Feature barcoding,
Random",,,TRUE,Sequencing,,
Total Number of Input Cells,REQUIRED: Number of cells loaded/placed on plates,,,,TRUE,scRNA-seq Assay,,
Spike In,REQUIRED: A set of known synthetic RNA molecules with known sequence that are added to the cell lysis mix,"ERCC, Other, No Spike In",,,TRUE,scRNA-seq Assay,,
Nucleic Acid Source,REQUIRED: The source of the input nucleic molecule,"Single Cell, Bulk Cell, Single Nucleus, Bulk Nuclei",,,TRUE,Sequencing,,
Cryopreserved Cells in Sample,REQUIRED: Indicate if library preparation was based on revived frozen cells.,"Yes, No",,,TRUE,scRNA-seq Assay,,
Single Cell Isolation Method,"REQUIRED: The method by which cells are isolated into individual reaction containers at a single cell resolution (e.g. wells, micro-droplets)","Microfluidics Chip, Droplets, FACS",,,TRUE,scRNA-seq Assay,,
scRNA-seq Assay,Single-cell RNA-seq [EFO_0008913],,"Filename, File Format, Sample ID, Nucleic Acid Source, Single Cell Isolation Method, Library Preparation Date, Library Construction Method, Sequencing Platform, Cryopreserved Cells in Sample, Spike In, Total Number of Input Cells, Component",,FALSE,Sequencing,,http://www.ebi.ac.uk/efo/EFO_0008913